epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5987,1.71813,2.00516,1.27881,0.4661,0.50055,0.43445,0.25111,1.23205,2.27049,1.13226,0.000463798,0.000463798,0.000463798
2,36.349,1.31407,0.95046,1.04129,0.73412,0.30058,0.28355,0.13819,1.93228,2.30144,1.6715,0.000930824,0.000930824,0.000930824
3,51.8696,1.29838,0.93304,1.05713,0.29078,0.41315,0.25569,0.15328,1.27835,2.91909,1.25735,0.00138842,0.00138842,0.00138842
4,67.323,1.28236,0.90191,1.05584,0.52208,0.35519,0.32706,0.19807,1.41146,3.8055,1.39876,0.00138656,0.00138656,0.00138656
5,82.8932,1.2886,0.87517,1.04328,0.65662,0.54447,0.55878,0.33869,1.23138,1.19881,1.10151,0.00137241,0.00137241,0.00137241
6,97.6807,1.21364,0.82023,1.03119,0.74739,0.53176,0.60428,0.38082,1.18195,1.04275,1.06262,0.00135826,0.00135826,0.00135826
7,112.812,1.22297,0.82359,1.02571,0.84226,0.51796,0.5999,0.36872,1.19077,1.02515,1.06861,0.00134412,0.00134412,0.00134412
8,128.132,1.24003,0.83305,1.0422,0.66431,0.55041,0.59144,0.35576,1.23207,1.00122,1.09141,0.00132997,0.00132997,0.00132997
9,143.887,1.22737,0.78312,1.00904,0.63559,0.54163,0.60266,0.3834,1.18632,0.92611,1.05399,0.00131582,0.00131582,0.00131582
10,159.216,1.1845,0.7908,1.0149,0.62989,0.56357,0.58806,0.37531,1.14166,0.86641,1.03267,0.00130168,0.00130168,0.00130168
11,174.532,1.15362,0.76522,1.00189,0.66608,0.59749,0.6242,0.3938,1.1497,0.95041,1.05122,0.00128753,0.00128753,0.00128753
12,190.352,1.15901,0.75182,1.00422,0.79938,0.54638,0.63098,0.39913,1.11031,1.12303,1.00927,0.00127338,0.00127338,0.00127338
13,205.521,1.15721,0.72876,1.00297,0.62767,0.59597,0.63521,0.41474,1.07604,1.01931,1.00874,0.00125923,0.00125923,0.00125923
14,220.202,1.1293,0.70151,0.98039,0.73924,0.72618,0.76781,0.50059,1.09205,0.72676,1.01482,0.00124509,0.00124509,0.00124509
15,234.972,1.11223,0.71754,0.99447,0.75172,0.55691,0.65075,0.42492,1.11014,0.7454,1.01652,0.00123094,0.00123094,0.00123094
16,249.619,1.09641,0.66905,0.9809,0.77268,0.68905,0.74456,0.47342,1.16864,0.75221,1.04413,0.00121679,0.00121679,0.00121679
17,264.679,1.10487,0.65666,0.97597,0.76089,0.71687,0.78077,0.51715,1.09137,0.66906,1.00809,0.00120265,0.00120265,0.00120265
18,279.56,1.1088,0.65326,0.9785,0.76735,0.68672,0.72832,0.46085,1.11868,0.71899,1.02128,0.0011885,0.0011885,0.0011885
19,294.753,1.13136,0.67368,0.9836,0.7463,0.66128,0.71777,0.46934,1.10487,0.69144,1.01726,0.00117435,0.00117435,0.00117435
20,309.988,1.08986,0.64618,0.98196,0.78475,0.63563,0.73063,0.47742,1.07238,0.65164,0.99342,0.00116021,0.00116021,0.00116021
21,324.755,1.09469,0.65829,0.97141,0.81097,0.74,0.80479,0.53079,1.08958,0.65824,1.00205,0.00114606,0.00114606,0.00114606
22,339.904,1.08165,0.63744,0.97852,0.79972,0.68817,0.73868,0.49045,1.04335,0.66111,0.98635,0.00113191,0.00113191,0.00113191
23,354.833,1.05898,0.62728,0.96316,0.81833,0.71358,0.78836,0.54018,1.04278,0.61623,0.98499,0.00111776,0.00111776,0.00111776
24,369.965,1.04647,0.61248,0.96947,0.77329,0.6665,0.7388,0.48605,1.05145,0.63934,0.98175,0.00110362,0.00110362,0.00110362
25,384.98,1.05473,0.62559,0.95202,0.74682,0.70416,0.72589,0.48928,1.02067,0.60452,0.96737,0.00108947,0.00108947,0.00108947
26,400.158,1.04872,0.60837,0.96763,0.69884,0.79722,0.75577,0.494,1.07505,0.62046,0.99373,0.00107532,0.00107532,0.00107532
27,415.152,1.03734,0.60743,0.96444,0.80842,0.68456,0.76801,0.51341,1.0483,0.6081,0.97163,0.00106118,0.00106118,0.00106118
28,430.074,1.03717,0.59632,0.95908,0.8085,0.72303,0.80092,0.54233,1.06259,0.60872,0.98754,0.00104703,0.00104703,0.00104703
29,444.963,1.01821,0.58377,0.94816,0.76491,0.78396,0.77326,0.52575,1.04755,0.61724,0.97707,0.00103288,0.00103288,0.00103288
30,460.064,1.0218,0.57373,0.94903,0.84528,0.73039,0.81862,0.55734,1.01518,0.55271,0.96402,0.00101873,0.00101873,0.00101873
31,475.366,1.02085,0.57501,0.94194,0.81977,0.67494,0.74223,0.49818,0.99766,0.60785,0.95789,0.00100459,0.00100459,0.00100459
32,491.676,1.02613,0.58408,0.94387,0.83512,0.71913,0.80953,0.54721,1.03908,0.57235,0.96779,0.00099044,0.00099044,0.00099044
33,508.559,1.00909,0.58188,0.94854,0.9372,0.74125,0.81981,0.56022,1.00876,0.56203,0.95912,0.000976293,0.000976293,0.000976293
34,525.451,1.00396,0.56221,0.93643,0.77152,0.68555,0.71296,0.48986,1.03688,0.61099,0.98509,0.000962146,0.000962146,0.000962146
35,541.228,1.00805,0.56254,0.94745,0.78037,0.75318,0.80509,0.55947,1.01183,0.57542,0.96396,0.000947999,0.000947999,0.000947999
36,556.585,0.98819,0.54765,0.94609,0.82101,0.75111,0.8078,0.55678,1.00511,0.54622,0.96068,0.000933851,0.000933851,0.000933851
37,572.168,0.99124,0.55503,0.93733,0.83237,0.74044,0.84181,0.58005,1.00669,0.55055,0.95744,0.000919704,0.000919704,0.000919704
38,587.954,0.98162,0.54509,0.92988,0.90651,0.76942,0.85428,0.59952,0.97348,0.52493,0.94876,0.000905557,0.000905557,0.000905557
39,603.629,0.97461,0.53394,0.92907,0.85593,0.79985,0.85003,0.58418,0.99764,0.55867,0.96487,0.00089141,0.00089141,0.00089141
40,619.955,0.99067,0.54498,0.94692,0.81904,0.74288,0.81206,0.5484,1.0143,0.55713,0.96029,0.000877263,0.000877263,0.000877263
41,635.472,0.95554,0.53016,0.93261,0.88382,0.70588,0.8074,0.56645,0.99891,0.58524,0.95811,0.000863116,0.000863116,0.000863116
42,651.449,0.95008,0.5281,0.93,0.83242,0.77741,0.8512,0.59293,0.99676,0.54056,0.95811,0.000848969,0.000848969,0.000848969
43,667.086,0.96803,0.51997,0.92762,0.85257,0.81093,0.85589,0.59541,0.98824,0.51645,0.95547,0.000834822,0.000834822,0.000834822
44,682.832,0.96444,0.51521,0.92445,0.9204,0.6867,0.82794,0.56015,0.98636,0.53983,0.94815,0.000820675,0.000820675,0.000820675
45,699.006,0.9534,0.50799,0.91947,0.91449,0.73839,0.84736,0.58509,0.98632,0.53821,0.9582,0.000806528,0.000806528,0.000806528
46,715.03,0.91194,0.50149,0.91408,0.88774,0.81087,0.84876,0.59464,0.97663,0.51362,0.95608,0.00079238,0.00079238,0.00079238
47,731.206,0.94633,0.518,0.92744,0.94668,0.75842,0.90282,0.61946,0.99251,0.50783,0.95131,0.000778233,0.000778233,0.000778233
48,747.212,0.95946,0.5237,0.93288,0.83018,0.84482,0.86181,0.59534,0.99194,0.52955,0.95669,0.000764086,0.000764086,0.000764086
49,762.841,0.93815,0.50969,0.92462,0.83366,0.76265,0.84869,0.58058,0.9736,0.52105,0.95454,0.000749939,0.000749939,0.000749939
50,778.428,0.92017,0.49784,0.91585,0.81129,0.8255,0.86955,0.59218,0.9906,0.51802,0.95404,0.000735792,0.000735792,0.000735792
51,793.772,0.92765,0.49578,0.9166,0.87883,0.79495,0.85894,0.58595,1.00786,0.51336,0.96867,0.000721645,0.000721645,0.000721645
52,809.226,0.90149,0.49452,0.91103,0.91008,0.76036,0.87628,0.62076,0.97351,0.48554,0.95088,0.000707498,0.000707498,0.000707498
53,824.674,0.93124,0.48795,0.91998,0.89079,0.82406,0.86317,0.58704,1.00401,0.5196,0.96369,0.000693351,0.000693351,0.000693351
54,840.066,0.90875,0.48015,0.91078,0.90581,0.78886,0.86536,0.60961,0.96145,0.48733,0.94505,0.000679204,0.000679204,0.000679204
55,855.617,0.91596,0.47565,0.91506,0.90558,0.79803,0.87525,0.61092,0.977,0.49589,0.94544,0.000665057,0.000665057,0.000665057
56,871.092,0.88847,0.46057,0.90429,0.85105,0.82171,0.84947,0.58529,0.97267,0.50931,0.94532,0.000650909,0.000650909,0.000650909
57,886.568,0.89218,0.4716,0.9049,0.93207,0.79545,0.88056,0.6188,0.95854,0.46924,0.9367,0.000636762,0.000636762,0.000636762
58,901.951,0.90633,0.47774,0.90897,0.90164,0.73052,0.84125,0.58353,0.98905,0.50565,0.95118,0.000622615,0.000622615,0.000622615
59,917.621,0.88273,0.46384,0.90843,0.89414,0.77458,0.87038,0.61444,0.97117,0.48028,0.95322,0.000608468,0.000608468,0.000608468
60,933.347,0.87916,0.46502,0.90009,0.87304,0.79392,0.85695,0.59275,0.97188,0.49195,0.94274,0.000594321,0.000594321,0.000594321
61,948.623,0.88114,0.46277,0.90528,0.86628,0.78747,0.82879,0.5848,0.97564,0.50199,0.95131,0.000580174,0.000580174,0.000580174
62,963.826,0.87164,0.47623,0.90419,0.90214,0.76979,0.88589,0.61173,0.99348,0.49113,0.95657,0.000566027,0.000566027,0.000566027
63,979.362,0.88179,0.46231,0.91012,0.93225,0.73838,0.86531,0.60638,0.99622,0.52058,0.958,0.00055188,0.00055188,0.00055188
64,995.809,0.86349,0.4542,0.89821,0.88151,0.77912,0.84387,0.5926,1.00909,0.51344,0.95885,0.000537733,0.000537733,0.000537733
65,1011.64,0.86329,0.44481,0.90133,0.95641,0.70847,0.86343,0.61236,0.96931,0.49576,0.9457,0.000523586,0.000523586,0.000523586
66,1027.46,0.85201,0.44763,0.896,0.87599,0.74057,0.82444,0.57626,0.96329,0.50531,0.93601,0.000509438,0.000509438,0.000509438
67,1043.29,0.86289,0.44681,0.90043,0.90821,0.7317,0.85387,0.60824,0.9536,0.48731,0.94,0.000495291,0.000495291,0.000495291
68,1059.24,0.83813,0.44009,0.89771,0.94259,0.75383,0.85494,0.60277,0.97095,0.50596,0.94306,0.000481144,0.000481144,0.000481144
69,1074.81,0.82478,0.43009,0.89211,0.87423,0.77241,0.86476,0.61802,0.99034,0.52009,0.94922,0.000466997,0.000466997,0.000466997
