epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2138,1.71813,2.00516,1.27881,0.4661,0.50055,0.43445,0.25111,1.23205,2.27049,1.13226,0.000463798,0.000463798,0.000463798
2,33.1966,1.31481,0.94427,1.03871,0.18464,0.46709,0.1825,0.0872,1.47834,inf,1.31972,0.000935478,0.000935478,0.000935478
3,47.9551,1.30199,0.95613,1.05989,0.23275,0.34007,0.16918,0.10051,1.84757,inf,1.8918,0.00140244,0.00140244,0.00140244
4,62.7042,1.28749,0.95861,1.0546,0.27179,0.47008,0.25594,0.15257,1.38755,10.9416,2.14243,0.00140778,0.00140778,0.00140778
5,77.553,1.26171,0.88519,1.0299,0.76813,0.3599,0.41852,0.26338,1.27842,1.60285,1.13764,0.00140071,0.00140071,0.00140071
6,92.4917,1.21922,0.82599,1.02728,0.64085,0.53282,0.54613,0.35007,1.16548,1.14006,1.07094,0.00139363,0.00139363,0.00139363
7,107.294,1.2313,0.83601,1.03604,0.33312,0.24803,0.18534,0.11832,1.56164,4.48952,1.33353,0.00138656,0.00138656,0.00138656
8,122.015,1.24102,0.83804,1.04294,0.65485,0.58494,0.60414,0.37801,1.16109,0.86669,1.02052,0.00137949,0.00137949,0.00137949
9,136.867,1.25064,0.79278,1.01864,0.68778,0.67115,0.68683,0.42997,1.16203,0.8209,1.04246,0.00137241,0.00137241,0.00137241
10,151.631,1.19231,0.78578,1.01574,0.65498,0.6396,0.61827,0.39373,1.14558,0.80553,1.02633,0.00136534,0.00136534,0.00136534
11,166.485,1.17765,0.77227,1.00572,0.85158,0.53342,0.62572,0.38907,1.14018,1.03057,1.02386,0.00135826,0.00135826,0.00135826
12,181.197,1.14645,0.74546,1.00064,0.73946,0.57556,0.65993,0.40903,1.12929,0.89791,1.01726,0.00135119,0.00135119,0.00135119
13,196.034,1.15441,0.73999,1.00373,0.73917,0.65409,0.6763,0.4391,1.12406,0.75285,1.02048,0.00134412,0.00134412,0.00134412
14,210.867,1.14843,0.71455,0.99127,0.80241,0.62625,0.72292,0.47759,1.09134,0.70956,1.01293,0.00133704,0.00133704,0.00133704
15,225.623,1.11849,0.7276,0.99801,0.82216,0.63329,0.73096,0.48422,1.10287,0.74075,1.01421,0.00132997,0.00132997,0.00132997
16,240.687,1.096,0.68461,0.98123,0.71037,0.65863,0.68413,0.43769,1.14281,0.72416,1.0326,0.0013229,0.0013229,0.0013229
17,256.014,1.10537,0.67235,0.97644,0.81058,0.63716,0.72071,0.46704,1.12323,0.73073,1.01197,0.00131582,0.00131582,0.00131582
18,270.82,1.10938,0.66576,0.97979,0.7266,0.66665,0.69525,0.42304,1.14406,0.73818,1.025,0.00130875,0.00130875,0.00130875
19,285.477,1.13583,0.68514,0.98451,0.76345,0.71474,0.75633,0.5061,1.08428,0.67541,1.0054,0.00130168,0.00130168,0.00130168
20,300.355,1.09496,0.66662,0.97862,0.67542,0.68826,0.70426,0.45564,1.08892,0.71542,0.9949,0.0012946,0.0012946,0.0012946
21,315.181,1.08851,0.67798,0.96996,0.81678,0.72869,0.80208,0.52702,1.07021,0.6959,1.00104,0.00128753,0.00128753,0.00128753
22,329.99,1.11437,0.6559,0.9874,0.79093,0.63457,0.70734,0.4727,1.06246,0.69375,0.97987,0.00128046,0.00128046,0.00128046
23,344.685,1.08822,0.6442,0.96461,0.90657,0.64966,0.73276,0.50134,1.05536,0.65016,0.98251,0.00127338,0.00127338,0.00127338
24,359.462,1.07092,0.64694,0.97543,0.82134,0.69519,0.75249,0.49383,1.07314,0.70859,0.99399,0.00126631,0.00126631,0.00126631
25,374.188,1.0761,0.63791,0.96001,0.75258,0.64854,0.73082,0.50058,1.01639,0.64923,0.96942,0.00125923,0.00125923,0.00125923
26,388.938,1.05757,0.63587,0.96318,0.84813,0.73375,0.8033,0.52622,1.07531,0.63068,0.98602,0.00125216,0.00125216,0.00125216
27,403.696,1.05489,0.61766,0.96954,0.73125,0.7503,0.77504,0.50603,1.05985,0.62781,0.99549,0.00124509,0.00124509,0.00124509
28,418.42,1.05748,0.61998,0.9607,0.72534,0.75132,0.75494,0.50916,1.03317,0.63666,0.96746,0.00123801,0.00123801,0.00123801
29,433.247,1.0401,0.61026,0.94949,0.74592,0.76958,0.75745,0.48771,1.08052,0.66801,0.98589,0.00123094,0.00123094,0.00123094
30,447.892,1.05475,0.59227,0.95346,0.91146,0.73589,0.83663,0.56205,1.0517,0.60202,0.98383,0.00122387,0.00122387,0.00122387
31,463.196,1.05077,0.59308,0.94937,0.8422,0.69972,0.75172,0.49734,1.05842,0.66677,0.99968,0.00121679,0.00121679,0.00121679
32,477.93,1.05377,0.60803,0.9518,0.77035,0.74172,0.77154,0.51989,1.04191,0.60326,0.97835,0.00120972,0.00120972,0.00120972
33,492.707,1.04083,0.61177,0.9548,0.78992,0.77904,0.81669,0.56012,1.05581,0.60934,0.99622,0.00120265,0.00120265,0.00120265
34,507.521,1.03962,0.59075,0.94952,0.77154,0.68352,0.7155,0.48876,1.04186,0.64772,0.97894,0.00119557,0.00119557,0.00119557
35,522.302,1.03632,0.59187,0.95558,0.89155,0.70957,0.80597,0.56015,1.01572,0.57824,0.96303,0.0011885,0.0011885,0.0011885
36,537.116,1.01288,0.57257,0.95529,0.7789,0.78933,0.79732,0.54807,1.01258,0.58355,0.9643,0.00118143,0.00118143,0.00118143
37,551.987,1.00966,0.57651,0.94281,0.81097,0.73035,0.78933,0.53648,1.0229,0.59492,0.97286,0.00117435,0.00117435,0.00117435
38,566.835,1.00664,0.57503,0.93638,0.75362,0.79026,0.80925,0.5688,1.00535,0.5467,0.9689,0.00116728,0.00116728,0.00116728
39,581.835,1.01146,0.56729,0.93866,0.85087,0.72674,0.8019,0.53082,1.03563,0.6146,0.97395,0.00116021,0.00116021,0.00116021
40,599.557,1.01558,0.56461,0.95456,0.8832,0.71474,0.82022,0.56241,1.01295,0.5604,0.96496,0.00115313,0.00115313,0.00115313
41,616.704,0.98758,0.55995,0.94299,0.89114,0.67468,0.79849,0.54579,1.0409,0.57629,0.97553,0.00114606,0.00114606,0.00114606
42,633.196,0.98277,0.55537,0.93952,0.8165,0.77139,0.84517,0.58677,1.02226,0.58843,0.96899,0.00113898,0.00113898,0.00113898
43,652.371,1.00157,0.5624,0.94034,0.80407,0.84356,0.86743,0.57808,1.03919,0.54508,0.9735,0.00113191,0.00113191,0.00113191
44,668.486,1.00239,0.55968,0.93599,0.87038,0.78238,0.83571,0.56812,1.02181,0.54634,0.96669,0.00112484,0.00112484,0.00112484
45,684.535,0.99968,0.54264,0.93135,0.92549,0.66931,0.80331,0.55208,1.01547,0.59085,0.97462,0.00111776,0.00111776,0.00111776
46,700.652,0.95757,0.53071,0.92431,0.85913,0.76598,0.84413,0.58638,0.99249,0.54251,0.9574,0.00111069,0.00111069,0.00111069
