epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.74,1.74091,1.97555,1.26325,0.63812,0.50532,0.49884,0.28907,1.25499,2.10013,1.1298,0.000463798,0.000463798,0.000463798
2,35.1583,1.25318,0.94991,1.02953,0.1129,0.24936,0.08072,0.04574,1.43444,21.1579,1.35536,0.000930824,0.000930824,0.000930824
3,50.417,1.29798,0.95287,1.05001,0.34096,0.24137,0.18473,0.106,1.73636,3.00865,1.52663,0.00138842,0.00138842,0.00138842
4,65.7268,1.30378,0.92889,1.03982,0.69172,0.37015,0.42884,0.26092,1.59412,2.38086,1.68734,0.00138656,0.00138656,0.00138656
5,81.4501,1.26582,0.90809,1.04402,0.87216,0.47219,0.5867,0.34435,1.47254,2.25748,2.08917,0.00137241,0.00137241,0.00137241
6,97.2576,1.22007,0.85594,1.03062,0.8175,0.33138,0.36281,0.22062,1.38951,1.70775,1.17576,0.00135826,0.00135826,0.00135826
7,112.776,1.23696,0.83721,1.01258,0.57216,0.37265,0.34912,0.22076,1.41743,1.75332,1.15788,0.00134412,0.00134412,0.00134412
8,128.716,1.16198,0.76883,1.01111,0.59506,0.52422,0.57237,0.35113,1.18121,1.01916,1.05713,0.00132997,0.00132997,0.00132997
9,144.979,1.21302,0.80073,1.01189,0.59161,0.61062,0.52973,0.33204,1.17909,1.70724,1.07956,0.00131582,0.00131582,0.00131582
10,160.437,1.16749,0.76111,1.00251,0.68674,0.58757,0.61328,0.3808,1.14485,1.13926,1.0584,0.00130168,0.00130168,0.00130168
11,176.685,1.18975,0.76938,0.99283,0.79616,0.54142,0.62396,0.3912,1.13368,0.94984,1.03936,0.00128753,0.00128753,0.00128753
12,192.488,1.17382,0.77161,1.0059,0.64416,0.57201,0.62114,0.39649,1.13691,0.93986,1.02438,0.00127338,0.00127338,0.00127338
13,207.982,1.12916,0.72494,0.975,0.64434,0.71392,0.70412,0.44585,1.10153,0.78027,1.01304,0.00125923,0.00125923,0.00125923
14,223.478,1.11635,0.71331,0.98609,0.81031,0.65139,0.71252,0.46176,1.10181,0.76017,1.03253,0.00124509,0.00124509,0.00124509
15,239.614,1.10415,0.68205,0.9863,0.79352,0.63325,0.70155,0.46038,1.09947,0.76242,1.0068,0.00123094,0.00123094,0.00123094
16,255.342,1.16018,0.69796,0.98931,0.82013,0.65059,0.73038,0.46567,1.11596,0.71008,1.01504,0.00121679,0.00121679,0.00121679
17,271.069,1.14973,0.68765,0.9788,0.76651,0.65831,0.72657,0.49201,1.05268,0.70231,1.00643,0.00120265,0.00120265,0.00120265
18,286.595,1.10022,0.67033,0.97596,0.76588,0.69998,0.74668,0.50811,1.09561,0.71991,1.02118,0.0011885,0.0011885,0.0011885
19,301.925,1.08288,0.66974,0.97654,0.74893,0.6711,0.72478,0.46721,1.05714,0.76514,1.00039,0.00117435,0.00117435,0.00117435
20,317.099,1.10241,0.67136,0.971,0.80657,0.616,0.69684,0.46382,1.09373,0.74628,1.00942,0.00116021,0.00116021,0.00116021
21,332.455,1.0878,0.64108,0.98144,0.75565,0.71963,0.76371,0.48639,1.12751,0.70983,1.01689,0.00114606,0.00114606,0.00114606
22,347.993,1.1186,0.67207,0.96648,0.79935,0.68443,0.72091,0.47365,1.09591,0.70554,1.00879,0.00113191,0.00113191,0.00113191
23,363.229,1.04483,0.61856,0.96082,0.85073,0.61024,0.72781,0.4756,1.06799,0.6962,0.99766,0.00111776,0.00111776,0.00111776
24,378.626,1.03634,0.61628,0.94981,0.78481,0.68627,0.73569,0.48285,1.04307,0.71955,0.99186,0.00110362,0.00110362,0.00110362
25,393.97,1.09557,0.61991,0.96592,0.83583,0.6845,0.77447,0.50193,1.06284,0.68227,0.99473,0.00108947,0.00108947,0.00108947
26,409.692,1.04664,0.60859,0.94962,0.70218,0.63257,0.68524,0.45177,1.06847,0.75966,1.00124,0.00107532,0.00107532,0.00107532
27,426.045,1.06234,0.61056,0.95332,0.76816,0.75469,0.79369,0.51871,1.01639,0.62506,0.96767,0.00106118,0.00106118,0.00106118
28,441.915,1.04102,0.59529,0.9398,0.78613,0.74511,0.77684,0.51546,0.99614,0.66021,0.96609,0.00104703,0.00104703,0.00104703
29,458.421,1.03295,0.59144,0.94496,0.81103,0.72527,0.79663,0.50926,1.07937,0.67861,0.99099,0.00103288,0.00103288,0.00103288
30,474.735,1.02187,0.58043,0.94995,0.70332,0.74305,0.77312,0.52024,0.99529,0.6477,0.97206,0.00101873,0.00101873,0.00101873
31,491.899,1.02802,0.58801,0.94467,0.8728,0.69554,0.78098,0.5005,1.09707,0.72305,1.00749,0.00100459,0.00100459,0.00100459
32,508.607,1.02836,0.58636,0.94863,0.85832,0.74159,0.79107,0.52163,1.0471,0.68131,1.00031,0.00099044,0.00099044,0.00099044
33,525.267,1.02454,0.57724,0.94912,0.83506,0.74118,0.78995,0.52253,1.0423,0.64255,0.9894,0.000976293,0.000976293,0.000976293
34,541.105,1.00101,0.55242,0.94238,0.75873,0.69034,0.7479,0.49977,1.05629,0.69569,1.00685,0.000962146,0.000962146,0.000962146
35,556.618,0.99598,0.55563,0.94057,0.84446,0.7437,0.79893,0.52836,1.05935,0.58844,1.00043,0.000947999,0.000947999,0.000947999
36,573.236,0.99531,0.56485,0.9491,0.91892,0.73995,0.81841,0.53898,1.0526,0.66691,0.98863,0.000933851,0.000933851,0.000933851
37,590.443,1.02443,0.56674,0.9522,0.77237,0.75305,0.78615,0.52608,1.01532,0.69591,0.98382,0.000919704,0.000919704,0.000919704
38,607.638,1.00516,0.55241,0.94155,0.83983,0.72757,0.78516,0.52526,1.01549,0.6556,0.97013,0.000905557,0.000905557,0.000905557
39,624.918,0.98158,0.53944,0.92654,0.77895,0.79793,0.80182,0.53169,0.99208,0.5727,0.96361,0.00089141,0.00089141,0.00089141
40,642.268,0.9799,0.54055,0.92742,0.83863,0.69046,0.78392,0.5266,1.00838,0.60472,0.9686,0.000877263,0.000877263,0.000877263
41,659.731,0.9967,0.55374,0.92536,0.81043,0.73602,0.80686,0.54364,1.02437,0.59006,0.97107,0.000863116,0.000863116,0.000863116
42,677.409,0.98101,0.55008,0.93615,0.82491,0.75526,0.8163,0.53933,1.02139,0.60153,0.96909,0.000848969,0.000848969,0.000848969
43,694.648,0.97908,0.54499,0.93477,0.82192,0.65672,0.75729,0.51009,1.01383,0.61951,0.9823,0.000834822,0.000834822,0.000834822
